Radial Distance r (a.u.),Computed Wavefunction
3.225,0.008412849802981697
3.23,0.008353857908700312
3.235,0.008295286155762449
3.24,0.008237131487806349
3.245,0.008179390871365114
3.25,0.00812206129568855
3.255,0.008065139772565606
3.2600000000000002,0.008008623336148836
3.265,0.007952509042780078
3.27,0.007896793970817814
3.275,0.007841475220465603
3.2800000000000002,0.007786549913601989
3.285,0.007732015193612262
3.29,0.0076778682252209
3.295,0.007624106194326006
3.3000000000000003,0.007570726307834518
3.305,0.007517725793499582
3.31,0.0074651018997581526
3.315,0.0074128518955710095
3.3200000000000003,0.00736097307026349
3.325,0.007309462733367386
3.33,0.007258318214464887
3.335,0.007207536863032839
3.34,0.007157116048288871
3.345,0.007107053159038854
3.35,0.0070573456035250975
3.355,0.007007990809276203
3.36,0.006958986222958148
3.365,0.006910329310226198
3.37,0.0068620175555784285
3.375,0.0068140484622103165
3.38,0.0067664195518703845
3.3850000000000002,0.006719128364717059
3.39,0.006672172459177097
3.395,0.006625549411804325
3.4,0.006579256817140359
3.4050000000000002,0.00653329228757597
3.41,0.006487653453213739
3.415,0.006442337961731609
3.42,0.006397343478248232
3.4250000000000003,0.006352667685188234
3.43,0.006308308282149762
3.435,0.006264262985772177
3.44,0.006220529529605438
3.4450000000000003,0.0061771056639804535
3.45,0.00613398915587979
3.455,0.006091177788810557
3.46,0.006048669362677413
3.465,0.006006461693656833
3.47,0.0059645526140727914
3.475,0.005922939972272832
3.48,0.005881621632505355
3.485,0.005840595474798284
3.49,0.005799859394838098
3.495,0.0057594113038500466
3.5,0.005719249128479705
3.505,0.005679370810674908
3.5100000000000002,0.0056397743075688195
3.515,0.0056004575913642446
3.52,0.005561418649218572
3.525,0.005522655483129424
3.5300000000000002,0.005484166109821614
3.535,0.0054459485606352534
3.54,0.0054080008814137315
3.545,0.005370321132393736
3.5500000000000003,0.005332907388095371
3.555,0.005295757737213518
3.56,0.005258870282510042
3.565,0.00522224314070658
3.5700000000000003,0.005185874442378711
3.575,0.005149762331850297
3.58,0.005113904967089229
3.585,0.005078300519603667
3.59,0.005042947174339356
3.595,0.005007843129577494
3.6,0.004972986596833697
3.605,0.004938375800757386
3.61,0.004904008979032335
3.615,0.0048698843822777985
3.62,0.004836000273950768
3.625,0.004802354930248123
3.63,0.004768946640010884
3.6350000000000002,0.004735773704627901
3.64,0.004702834437941174
3.645,0.004670127166151691
3.65,0.004637650227725824
3.6550000000000002,0.004605401973302649
3.66,0.00457338076560199
3.665,0.004541584979333114
3.67,0.00451001300110418
3.6750000000000003,0.004478663229332492
3.68,0.004447534074155149
3.685,0.004416623957340977
3.69,0.004385931312202351
3.6950000000000003,0.004355454583508579
3.7,0.004325192227399243
