Radial distance r (atomic units),Calculated helium wavefunction (probability amplitude)
0.7707707707707707,0.2986036458565829
0.7757757757757757,0.29663128005797823
0.7807807807807807,0.2946780988945676
0.7857857857857857,0.29274371447567776
0.7907907907907907,0.2908277453842109
0.7957957957957957,0.28892981687136704
0.8008008008008007,0.28704956103121787
0.8058058058058059,0.28518661695573916
0.8108108108108109,0.2833406308709185
0.8158158158158159,0.28151125625456763
0.8208208208208209,0.2796981539364782
0.8258258258258259,0.2779009921815638
0.8308308308308309,0.2761194467566384
0.8358358358358359,0.2743532009814853
0.8408408408408409,0.27260194576486757
0.8458458458458459,0.270865379626139
0.8508508508508509,0.2691432087031041
0.8558558558558559,0.26743514674678037
0.8608608608608609,0.26574091510370745
0.8658658658658659,0.26406024268644324
0.8708708708708709,0.2623928659328818
0.8758758758758759,0.2607385287550178
